provider,model,input_micro_usd_per_million,cached_input_micro_usd_per_million,output_micro_usd_per_million,source_url
openai,gpt-4o-mini,150000,75000,600000,https://developers.openai.com/api/docs/models/gpt-4o-mini
openai,gpt-4o,2500000,1250000,10000000,https://developers.openai.com/api/docs/models/gpt-4o
openai,gpt-4.1-nano,100000,25000,400000,https://developers.openai.com/api/docs/models/gpt-4.1-nano
openai,gpt-4.1-mini,400000,100000,1600000,https://developers.openai.com/api/docs/models/gpt-4.1-mini
openai,gpt-4.1,2000000,500000,8000000,https://developers.openai.com/api/docs/models/gpt-4.1
openai,gpt-5.5,5000000,500000,30000000,https://developers.openai.com/api/docs/models/gpt-5.5
openai,gpt-5.6-luna,100000,10000,600000,https://developers.openai.com/api/docs/pricing
openai,gpt-5.6-terra,1000000,100000,6000000,https://developers.openai.com/api/docs/pricing
openai,gpt-5.6-sol,2000000,200000,10000000,https://developers.openai.com/api/docs/pricing
openai,gpt-6-astra,5000000,500000,25000000,https://developers.openai.com/api/docs/pricing
